path,kind,line_count,review_status,evidence_group
docs/REHLA-LARAVEL-PACKAGE-ARCHITECTURE.md,architecture,886,reviewed,package-and-contract-alignment
docs/REHLA-PROJECT-CONCEPT-AND-USER-JOURNEY.md,product,1377,reviewed,product-and-behavior-contracts
docs/architecture/rehla-package-contract-map.json,machine-map,1405,reviewed,package-and-contract-alignment
docs/architecture/rehla-package-map.json,machine-map,32,reviewed,package-and-contract-alignment
docs/architecture/rehla-plan-contract.json,machine-map,1340,reviewed,package-and-contract-alignment
docs/architecture/table-ownership.json,machine-map,332,reviewed,package-and-contract-alignment
docs/plans/REHLA-LARAVEL-PACKAGE-IMPLEMENTATION.md,plan,285,reviewed,implementation-plans
docs/reviews/2026-09-11-rehla-specs-completeness-audit.md,review,74,reviewed,audit-evidence
docs/reviews/2026-09-12-rehla-build-plans-and-agent-skills-audit.md,review,182,reviewed,audit-evidence
docs/reviews/2026-09-12-rehla-package-contract-alignment-audit.md,review,95,reviewed,audit-evidence
docs/superpowers/plans/2026-09-11-rehla-01-foundation-core.md,plan,530,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-02-identity-platform-services.md,plan,508,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-03-catalog-forms-content.md,plan,323,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-04-wallet-topups.md,plan,337,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-05-orders-purchasing-fulfillment.md,plan,538,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-06-reporting-integrations.md,plan,286,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-07-customer-web.md,plan,426,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-07-interfaces-operations-release.md,plan,12,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-08-customer-api.md,plan,429,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-09-admin-control-panel.md,plan,347,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-10-operations-security-release.md,plan,344,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-plan-coverage.csv,plan,66,reviewed,implementation-plans
docs/superpowers/plans/2026-09-11-rehla-platform-build.md,plan,203,reviewed,implementation-plans
docs/superpowers/plans/2026-09-12-rehla-package-structure-and-contract-alignment.md,plan,1193,reviewed,implementation-plans
docs/superpowers/plans/2026-09-12-rehla-plan-governance-and-agent-skills.md,plan,620,reviewed,implementation-plans
docs/superpowers/plans/2026-09-12-rehla-plan-manifest.csv,plan,15,reviewed,implementation-plans
docs/superpowers/specs/2026-09-12-rehla-package-structure-and-contract-alignment-design.md,design,450,reviewed,package-and-contract-alignment
docs/superpowers/specs/2026-09-12-rehla-plan-governance-and-agent-skills-design.md,design,235,reviewed,package-and-contract-alignment
specs/GOVERNANCE.md,governance,48,reviewed,product-and-behavior-contracts
specs/README.md,governance,76,reviewed,product-and-behavior-contracts
specs/contracts/admin-operations-contract.md,contract,106,reviewed,product-and-behavior-contracts
specs/contracts/bank-transfer-receipt-contract.md,contract,102,reviewed,product-and-behavior-contracts
specs/contracts/customer-rest-api-v1.md,contract,350,reviewed,product-and-behavior-contracts
specs/contracts/outbox-and-notifications-delivery.md,contract,76,reviewed,product-and-behavior-contracts
specs/contracts/service-fulfillment-sop.md,contract,55,reviewed,product-and-behavior-contracts
specs/contracts/storage-and-document-pipeline.md,contract,111,reviewed,product-and-behavior-contracts
specs/contracts/whatsapp-inquiry-contract.md,contract,70,reviewed,product-and-behavior-contracts
specs/coverage-manifest.csv,coverage,66,reviewed,product-and-behavior-contracts
specs/cross-cutting/localization-accessibility-and-errors.md,cross-cutting,34,reviewed,product-and-behavior-contracts
specs/cross-cutting/operational-reliability.md,cross-cutting,32,reviewed,product-and-behavior-contracts
specs/cross-cutting/security-and-privacy.md,cross-cutting,66,reviewed,product-and-behavior-contracts
specs/domains/application-forms.md,domain,132,reviewed,product-and-behavior-contracts
specs/domains/audit.md,domain,102,reviewed,product-and-behavior-contracts
specs/domains/content.md,domain,106,reviewed,product-and-behavior-contracts
specs/domains/documents.md,domain,150,reviewed,product-and-behavior-contracts
specs/domains/fulfillment.md,domain,215,reviewed,product-and-behavior-contracts
specs/domains/identity-and-access.md,domain,143,reviewed,product-and-behavior-contracts
specs/domains/notifications.md,domain,170,reviewed,product-and-behavior-contracts
specs/domains/orders-and-purchasing.md,domain,158,reviewed,product-and-behavior-contracts
specs/domains/reporting.md,domain,117,reviewed,product-and-behavior-contracts
specs/domains/service-catalog.md,domain,114,reviewed,product-and-behavior-contracts
specs/domains/top-ups.md,domain,168,reviewed,product-and-behavior-contracts
specs/domains/travelers.md,domain,129,reviewed,product-and-behavior-contracts
specs/domains/wallet-and-ledger.md,domain,152,reviewed,product-and-behavior-contracts
specs/journeys/journey-01-service-discovery-and-inquiry.md,journey,113,reviewed,product-and-behavior-contracts
specs/journeys/journey-02-account-registration-and-profile.md,journey,139,reviewed,product-and-behavior-contracts
specs/journeys/journey-03-traveler-profile-management.md,journey,141,reviewed,product-and-behavior-contracts
specs/journeys/journey-04-wallet-topup-submission-and-review.md,journey,196,reviewed,product-and-behavior-contracts
specs/journeys/journey-05-service-order-and-instant-purchase.md,journey,190,reviewed,product-and-behavior-contracts
specs/journeys/journey-06-execution-tracking-and-customer-action.md,journey,178,reviewed,product-and-behavior-contracts
specs/journeys/journey-07-family-multiple-orders.md,journey,141,reviewed,product-and-behavior-contracts
specs/journeys/journey-08-order-submission-edge-cases.md,journey,122,reviewed,product-and-behavior-contracts
specs/product-overview.md,product,195,reviewed,product-and-behavior-contracts
specs/test-vectors/form-schema-validation-and-evaluation.md,test-vector,60,reviewed,product-and-behavior-contracts
specs/test-vectors/idempotency-and-deduplication.md,test-vector,51,reviewed,product-and-behavior-contracts
specs/test-vectors/money-and-minor-units.md,test-vector,53,reviewed,product-and-behavior-contracts
specs/test-vectors/passport-normalization-and-validation.md,test-vector,79,reviewed,product-and-behavior-contracts
specs/test-vectors/reporting-metrics-calculations.md,test-vector,87,reviewed,product-and-behavior-contracts
specs/test-vectors/state-machines-and-transitions.md,test-vector,87,reviewed,product-and-behavior-contracts
