acceptance_id,source_requirement,package,interface,db_invariant,test_file,test_name,status,evidence,deferred_reason
R01.01,R01,Platform,PhaseOneReleaseGate,single_deployable_rehla_phase_one,tests/EndToEnd/phase-one-acceptance.spec.ts,completes the approved Rehla service journey,planned,,
R02.01,R02,Platform,PhaseOneCustomerJourney,customer_problem_and_solution_are_observable,tests/EndToEnd/phase-one-acceptance.spec.ts,proves the customer can discover fund order and track a service,planned,,
R03.01,R03,Platform,ArchitectureAcceptance,modular_monolith_boundaries_hold,tests/Architecture/PackageDependencyTest.php,enforces the approved modular architecture,planned,,
R04.01,R04,Core,AtomicAcceptanceRegister,all_atomic_requirements_registered,tests/Architecture/AcceptanceRegisterTest.php,maps every product section and mandatory atomic family,verified,b3b9b44; php artisan test tests/Architecture/AcceptanceRegisterTest.php; PASS 3 tests 2107 assertions; tests/Architecture/AcceptanceRegisterTest.php,
R05.01,R05,Admin,AdminOperationsShell,staff_goals_require_explicit_abilities,packages/Rehla/Admin/tests/Feature/AdminCapabilityMatrixTest.php,gates every operational area by its declared ability,planned,,
R06.01,R06,Platform,ComponentAndPackageGate,all_19_packages_and_surfaces_verified,tests/Architecture/PackageDiscoveryTest.php,discovers all declared Rehla packages and release surfaces,planned,,
R07.01,R07,Catalog,ServiceCatalogQuery,services_catalog_active_only,packages/Rehla/Catalog/tests/Feature/ServiceLifecycleTest.php,lists only published services sorted by sort_order and reorders them,verified,php artisan test packages/Rehla/Catalog/tests; PASS 8 tests 24 assertions; php artisan test packages/Rehla tests/Architecture; PASS 172 tests 3303 assertions; packages/Rehla/Catalog/tests/Feature/ServiceLifecycleTest.php,
R08.01,R08,Forms,FormFieldType::short_text,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates short_text fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.02,R08,Forms,FormFieldType::long_text,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates long_text fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.03,R08,Forms,FormFieldType::email,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates email fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.04,R08,Forms,FormFieldType::phone,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates phone fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.05,R08,Forms,FormFieldType::number,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates number fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.06,R08,Forms,FormFieldType::date,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates date fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.07,R08,Forms,FormFieldType::dropdown,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates dropdown fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.08,R08,Forms,FormFieldType::radio,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates radio fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.09,R08,Forms,FormFieldType::checkbox,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates checkbox fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.10,R08,Forms,FormFieldType::file_upload,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates file_upload fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.11,R08,Forms,FormFieldType::image_upload,supported_field_type,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,validates image_upload fields and rejects invalid values,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.12,R08,Forms,FormField::label,bilingual_label_required,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,requires English and Arabic field labels,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.13,R08,Forms,FormField::displayOrder,stable_display_order,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,orders fields by the administrator-defined position,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.14,R08,Forms,FormField::required,required_flag_enforced,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,enforces required and optional fields,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.15,R08,Forms,FormField::helperText,bilingual_helper_text,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,stores matching English and Arabic helper text,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.16,R08,Forms,FormField::options,bilingual_options_for_choice_fields,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,requires valid bilingual options for choice fields,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
R08.17,R08,Forms,FormField::validationRules,allowlisted_validation_rules,packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,rejects unsupported or unsafe validation rules,verified,php artisan test packages/Rehla/Forms/tests; PASS 21 tests 48 assertions; php artisan test packages/Rehla tests/Architecture; PASS 191 tests 3376 assertions; packages/Rehla/Forms/tests/Unit/FieldValidationTest.php,
