requirement_id,source_lines,primary_spec,supporting_evidence,status
R01,13-35,product-overview.md,journeys/journey-05-service-order-and-instant-purchase.md,covered
R02,36-61,product-overview.md,domains/orders-and-purchasing.md,covered
R03,62-67,product-overview.md,cross-cutting/localization-accessibility-and-errors.md,covered
R04,68-84,journeys/journey-02-account-registration-and-profile.md,contracts/customer-rest-api-v1.md,covered
R05,85-103,contracts/admin-operations-contract.md,cross-cutting/security-and-privacy.md,covered
R06,104-156,README.md,coverage-manifest.csv,covered
R07,157-184,domains/service-catalog.md,journeys/journey-01-service-discovery-and-inquiry.md,covered
R08,185-219,domains/application-forms.md,test-vectors/form-schema-validation-and-evaluation.md,covered
R09,220-241,domains/application-forms.md,test-vectors/form-schema-validation-and-evaluation.md,covered
R10,242-259,domains/identity-and-access.md,product-overview.md,covered
R11,260-284,domains/travelers.md,journeys/journey-03-traveler-profile-management.md,covered
R12,285-294,domains/travelers.md,test-vectors/passport-normalization-and-validation.md,covered
R13,295-304,domains/travelers.md,domains/orders-and-purchasing.md,covered
R14,305-319,domains/orders-and-purchasing.md,journeys/journey-07-family-multiple-orders.md,covered
R15,320-343,domains/wallet-and-ledger.md,test-vectors/money-and-minor-units.md,covered
R16,344-377,domains/top-ups.md,journeys/journey-04-wallet-topup-submission-and-review.md,covered
R17,378-392,domains/top-ups.md,contracts/bank-transfer-receipt-contract.md,covered
R18,393-411,domains/top-ups.md,test-vectors/idempotency-and-deduplication.md,covered
R19,412-437,domains/top-ups.md,contracts/admin-operations-contract.md,covered
R20,438-457,domains/top-ups.md,journeys/journey-04-wallet-topup-submission-and-review.md,covered
R21,458-468,domains/top-ups.md,contracts/bank-transfer-receipt-contract.md,covered
R22,469-482,domains/wallet-and-ledger.md,domains/orders-and-purchasing.md,covered
R23,483-498,domains/service-catalog.md,contracts/customer-rest-api-v1.md,covered
R24,499-513,contracts/whatsapp-inquiry-contract.md,journeys/journey-01-service-discovery-and-inquiry.md,covered
R25,514-531,journeys/journey-05-service-order-and-instant-purchase.md,domains/orders-and-purchasing.md,covered
R26,532-547,domains/travelers.md,journeys/journey-05-service-order-and-instant-purchase.md,covered
R27,548-557,domains/application-forms.md,journeys/journey-05-service-order-and-instant-purchase.md,covered
R28,558-571,domains/orders-and-purchasing.md,journeys/journey-08-order-submission-edge-cases.md,covered
R29,572-586,domains/orders-and-purchasing.md,cross-cutting/operational-reliability.md,covered
R30,587-594,domains/service-catalog.md,journeys/journey-08-order-submission-edge-cases.md,covered
R31,595-602,domains/wallet-and-ledger.md,journeys/journey-08-order-submission-edge-cases.md,covered
R32,603-618,domains/orders-and-purchasing.md,cross-cutting/operational-reliability.md,covered
R33,619-638,domains/orders-and-purchasing.md,journeys/journey-05-service-order-and-instant-purchase.md,covered
R34,639-658,domains/fulfillment.md,contracts/service-fulfillment-sop.md,covered
R35,659-672,product-overview.md,domains/fulfillment.md,covered
R36,673-690,contracts/service-fulfillment-sop.md,test-vectors/state-machines-and-transitions.md,covered
R37,691-710,domains/fulfillment.md,journeys/journey-06-execution-tracking-and-customer-action.md,covered
R38,711-734,contracts/customer-rest-api-v1.md,journeys/journey-06-execution-tracking-and-customer-action.md,covered
R39,735-750,domains/notifications.md,contracts/outbox-and-notifications-delivery.md,covered
R40,751-774,contracts/admin-operations-contract.md,cross-cutting/security-and-privacy.md,covered
R41,775-792,domains/service-catalog.md,contracts/admin-operations-contract.md,covered
R42,793-802,domains/application-forms.md,contracts/admin-operations-contract.md,covered
R43,803-817,domains/identity-and-access.md,cross-cutting/security-and-privacy.md,covered
R44,818-841,contracts/admin-operations-contract.md,journeys/journey-04-wallet-topup-submission-and-review.md,covered
R45,842-856,domains/fulfillment.md,contracts/admin-operations-contract.md,covered
R46,857-871,domains/audit.md,cross-cutting/security-and-privacy.md,covered
R47,872-887,cross-cutting/security-and-privacy.md,domains/identity-and-access.md,covered
R48,888-902,domains/documents.md,contracts/storage-and-document-pipeline.md,covered
R49,903-908,domains/documents.md,domains/service-catalog.md,covered
R50,909-944,cross-cutting/localization-accessibility-and-errors.md,contracts/customer-rest-api-v1.md,covered
R51,945-958,product-overview.md,test-vectors/state-machines-and-transitions.md,covered
R52,959-1113,journeys/journey-05-service-order-and-instant-purchase.md,contracts/customer-rest-api-v1.md,covered
R53,1114-1141,journeys/journey-07-family-multiple-orders.md,domains/orders-and-purchasing.md,covered
R54,1142-1154,domains/travelers.md,journeys/journey-03-traveler-profile-management.md,covered
R55,1155-1181,domains/orders-and-purchasing.md,contracts/service-fulfillment-sop.md,covered
R56,1182-1187,domains/top-ups.md,test-vectors/idempotency-and-deduplication.md,covered
R57,1188-1199,domains/top-ups.md,test-vectors/state-machines-and-transitions.md,covered
R58,1200-1205,domains/orders-and-purchasing.md,test-vectors/idempotency-and-deduplication.md,covered
R59,1206-1211,domains/orders-and-purchasing.md,journeys/journey-08-order-submission-edge-cases.md,covered
R60,1212-1231,product-overview.md,GOVERNANCE.md,covered
R61,1232-1262,cross-cutting/localization-accessibility-and-errors.md,cross-cutting/security-and-privacy.md,covered
R62,1263-1281,domains/reporting.md,test-vectors/reporting-metrics-calculations.md,covered
R63,1282-1337,journeys/journey-05-service-order-and-instant-purchase.md,contracts/admin-operations-contract.md,covered
R64,1338-1356,GOVERNANCE.md,contracts/outbox-and-notifications-delivery.md,covered
R65,1357-1377,product-overview.md,journeys/journey-05-service-order-and-instant-purchase.md,covered
